,Sl No,Cast Number,Posting Date,Stack No,Grade,Wt(MT),Pcs,%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,38,558241,18.09.2024,,W000,4.032,,0.08,0.2,0.002,0.006,0.001,0.004,0.02,99.687
,39,558245,19.09.2024,,W000,29.875,,0.08,0.21,0.003,0.008,0.001,0.004,0.02,99.674
,40,558249,20.09.2024,,W000,28.784,,0.08,0.17,0.001,0.003,0.001,0.004,0.02,99.721
,41,558253,20.09.2024,,W000,27.989,,0.08,0.17,0.003,0.009,0.001,0.004,0.02,99.713
,42,558257,21.09.2024,,W000,32.312,,0.08,0.19,0.005,0.014,0.001,0.004,0.02,99.686
,43,558261,21.09.2024,,W000,21.839,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,44,558263,22.09.2024,,W000,32.659,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,45,558267,23.09.2024,,W000,29.33,,0.08,0.21,0.001,0.003,0.001,0.004,0.02,99.681
,46,558271,23.09.2024,,W000,23.796,,0.08,0.21,0.003,0.009,0.001,0.004,0.02,99.673
,47,558275,24.09.2024,,W000,37.656,,0.08,0.2,0.003,0.007,0.001,0.004,0.02,99.685
,48,558279,24.09.2024,,W000,23.048,,0.08,0.21,0.002,0.004,0.001,0.004,0.02,99.679
,49,558283,25.09.2024,,W000,19.906,,0.08,0.21,0.001,0.002,0.001,0.005,0.02,99.681
,50,558287,26.09.2024,,W000,34.543,,0.08,0.18,0.001,0.002,0.001,0.004,0.02,99.712
,51,558291,27.09.2024,,W000,40.354,,0.08,0.2,0.002,0.004,0.001,0.004,0.02,99.689
,52,558295,27.09.2024,,W000,36.323,,0.08,0.2,0.003,0.005,0.001,0.004,0.02,99.687
,53,558299,28.09.2024,,W000,35.297,,0.08,0.17,0.004,0.01,0.001,0.004,0.02,99.711
,54,558303,28.09.2024,,W000,7.67,,0.07,0.21,0.002,0.007,0.001,0.004,0.02,99.686
,55,558307,29.09.2024,,W000,37.531,,0.08,0.2,0.002,0.005,0.001,0.004,0.02,99.688
,56,558311,29.09.2024,,W000,20.695,,0.09,0.18,0.001,0.002,0.001,0.004,0.02,99.702
,57,558315,30.09.2024,,W000,35.093,,0.08,0.17,0.002,0.005,0.001,0.004,0.02,99.718
,58,558319,30.09.2024,,W000,40.201,,0.08,0.19,0.001,0.003,0.001,0.004,0.02,99.701
,59,558323,01.10.2024,,W000,30.137,,0.09,0.17,0.001,0.002,0.001,0.004,0.02,99.712
,60,558325,05.10.2024,,W000,42.157,,0.09,0.18,0.001,0.003,0.001,0.004,0.02,99.701
,61,558327,05.10.2024,,W000,14.82,,0.09,0.21,0.001,0.004,0.001,0.004,0.02,99.67
,62,558329,06.10.2024,,W000,43.208,,0.08,0.21,0.001,0.004,0.001,0.004,0.02,99.68
,63,558331,06.10.2024,,W000,42.002,,0.08,0.21,0.001,0.003,0.001,0.004,0.02,99.681
,64,558333,07.10.2024,,W000,41.284,,0.09,0.2,0.001,0.004,0.001,0.004,0.02,99.68
,65,558335,07.10.2024,,W000,51.495,,0.09,0.2,0.001,0.001,0.001,0.004,0.02,99.683
,66,558337,07.10.2024,,W000,41.322,,0.08,0.22,0.001,0.003,0.001,0.004,0.02,99.671
,67,558339,07.10.2024,,W000,8.506,,0.08,0.22,0.001,0.003,0.001,0.004,0.02,99.671
,68,558343,08.10.2024,,W000,29.168,,0.09,0.2,0.002,0.007,0.001,0.004,0.02,99.676
,69,558347,09.10.2024,,W000,19.113,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,70,558351,09.10.2024,,W000,28.976,,0.09,0.24,0.001,0.002,0.001,0.004,0.02,99.642
,71,558355,09.10.2024,,W000,28.267,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,72,558359,10.10.2024,,W000,29.783,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,73,558363,11.10.2024,,W000,34.517,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,74,558367,11.10.2024,,W000,34.655,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,75,558371,12.10.2024,,W000,34.25,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,76,558375,12.10.2024,,W000,30.515,,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,77,558379,13.10.2024,,W000,32.432,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,78,558385,14.10.2024,,W000,6.092,,0.07,0.19,0.001,0.005,0.001,0.004,0.02,99.709
,79,558389,14.10.2024,,W000,34.503,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,80,558393,14.10.2024,,W000,34.3,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,81,558397,16.10.2024,,W000,34.531,,0.08,0.2,0.001,0.001,0.001,0.004,0.02,99.693
,82,558401,17.10.2024,,W000,12.152,,0.07,0.17,0.001,0.001,0.001,0.004,0.02,99.733
,83,558405,17.10.2024,,W000,21.688,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,84,558409,18.10.2024,,W000,24.262,,0.07,0.17,0.001,0.003,0.001,0.004,0.02,99.731
,85,558413,18.10.2024,,W000,40.948,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,86,558417,19.10.2024,,W000,34.816,,0.08,0.2,0.001,0.001,0.001,0.004,0.02,99.693
,87,558421,19.10.2024,,W000,34.862,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,88,558425,20.10.2024,,W000,36.688,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,89,558429,20.10.2024,,W000,29.327,,0.08,0.19,0.001,0.004,0.001,0.004,0.02,99.7
,90,558433,21.10.2024,,W000,34.591,,0.08,0.18,0.002,0.007,0.001,0.004,0.02,99.706
,91,558437,21.10.2024,,W000,32.693,,0.08,0.17,0.001,0.003,0.001,0.004,0.02,99.721
,92,558441,22.10.2024,,W000,32.883,,0.08,0.18,0.001,0.001,0.001,0.004,0.02,99.713
,93,558447,22.10.2024,,W000,28.202,,0.08,0.18,0.001,0.002,0.001,0.004,0.02,99.712
,94,558451,23.10.2024,,W000,37.153,,0.08,0.18,0.001,0.002,0.001,0.004,0.02,99.712
,95,558455,23.10.2024,,W000,34.569,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,96,558459,24.10.2024,,W000,27.386,,0.08,0.16,0.001,0.001,0.001,0.004,0.02,99.733
,97,558463,24.10.2024,,W000,35.678,,0.08,0.15,0.002,0.006,0.001,0.004,0.02,99.737
,98,558467,25.10.2024,,W000,30.017,,0.08,0.18,0.001,0.001,0.001,0.004,0.02,99.713
